Dominance,,,Extraversion,,,Patience,,,Conscientious ,,,,,,,,,,,,,,,,
Team Leader,Team Player,,Thinker,Talker,,Steady,Fast Paced,,Detail Oriented,Innovative,,,,,,,,,,,,,,,
Independent,Collaborative,,Detail Oriented,Connects with others,,Stability,Variety,,Meticulous,Freedom from rules,,,,,,,,,,,,,,,
Assertive,Cooperative,,Factual,Influencer,,Stable work,Handle multiple priorities,,Thorough,Ingenuity,,,,,,,,,,,,,,,
Drive,Harmony-seeking,,Analytical,Sales,,Organized,Demanding,,Punctual,Creative,,,,,,,,,,,,,,,
Determined,Team commitment,,Matter-of-fact,Customer service,,Steady pace,target driven,,Reliable,Ideator,,,,,,,,,,,,,,,
Self Moviated,Open Minded,,Data analysis,Working with people,,Structure,Flexible,,Organisational,Inventor,,,,,,,,,,,,,,,
Management,Cross-functional teams,,Systematic,Cultural,,Instructions,Multitasking,,Discipoined,Architect,,,,,,,,,,,,,,,
Leadership,Faclitating cooperation,,Curious,Confident,,Scheduling,Proactive,,Depth of knowledge,Creative Solutions,,,,,,,,,,,,,,,
Initiative,Mediation,,Attention to detail.,Communicator,,Ahead of time,Dynamic,,systematic,Achiever,,,,,,,,,,,,,,,
Self-confident,Team setting,,Building models,Persuasive ,,On time,Adaptable,,Operational,Open ended,,,,,,,,,,,,,,,
Autonomy,Team environment,,Memorizing,Enthusiastic,,Attendance,Fast speed,,Structured,Out of the box thinking,,,,,,,,,,,,,,,
Control,Coordianting efforts,,Research,Develop relationships,,Dependable ,Deadlines,,Work knowledge,Creative Problem solving,,,,,,,,,,,,,,,
Coaching,Catalyze the best for others,,Independent,Energetic,,Empathetic,Pressure,,Sharp,Big Picture thinking,,,,,,,,,,,,,,,
Teaching,Collaborative Groups,,Individual contributor,Likeminded people,,Deliberate,Willing to try new things,,Programming,Connecting dots,,,,,,,,,,,,,,,
Instructor,Working closely with users,,Hyper focus,Friendly,,Cautious,Learn quickly,,Attention to detail.,Arts,,,,,,,,,,,,,,,
Motivated,Managing conflict,,Good memory,Good attitude,,Calm,Fast learner,,Early,Writing,,,,,,,,,,,,,,,
Spearhead,Recognize team success,,Logial thinker,Public speaking,,Supportive,Changes in work environment,,Memorizing,Strategy,,,,,,,,,,,,,,,
Develop others,Teammwork,,Quiet environment,Curious about people,,Open,New approaches,,Factual,Improve Organizations,,,,,,,,,,,,,,,
Mentor,Connection,,Extraversion,Empathize,,Indescisive,Uncertain,,Synthesize data,,,,,,,,,,,,,,,,
Autonomy,Mutual Trust,,Operations,Connecting ,,Sincere,Growth,,Data Oriented,,,,,,,,,,,,,,,,
Fast-paced,Long term relationships,,,Work well with others,,Loyal,Adjusts approaches,,Eye for detail,,,,,,,,,,,,,,,,
Strong-willed,Value feedback,,,Languages,,Cooperative,,,Spotting errors,,,,,,,,,,,,,,,,
Inspirational,Suggestions of others,,,Personable,,Accomadating ,,,Ensure correct,,,,,,,,,,,,,,,,
Questioning,Team goals,,,Verbal skills,,Appreciative,,,Pattern Recognition,,,,,,,,,,,,,,,,
Goal-oriented,,,,Talking to people,,Patient,,,Analyze data,,,,,,,,,,,,,,,,
Blunt,,,,Helping people,,Genuine,,,Accuracy,,,,,,,,,,,,,,,,
Bottom-line,,,,Relationships,,Security,,,Good arranger,,,,,,,,,,,,,,,,
Skeptical,,,,Expressive,,Helpful,,,Logical thinker,,,,,,,,,,,,,,,,
Focused,,,,Sociable,,Consistent,,,Extensive knowledge,,,,,,,,,,,,,,,,
Forceful,,,,Upbeat,,Predictable,,,Quality,,,,,,,,,,,,,,,,
Risk-taker,,,,Trusting,,,,,Expertise,,,,,,,,,,,,,,,,
Competitive,,,,Magnetic,,,,,Isolating,,,,,,,,,,,,,,,,
Concrete,,,,Coaching,,,,,Analytical,,,,,,,,,,,,,,,,
Outspoken,,,,Democratic,,,,,Accuracy,,,,,,,,,,,,,,,,
Straightforward,,,,Warm,,,,,Logical,,,,,,,,,,,,,,,,
Action-oriented,,,,High-energy,,,,,Critical,,,,,,,,,,,,,,,,
Swift,,,,Interpersonal,,,,,Reserved,,,,,,,,,,,,,,,,
Freedom,,,,Opinionated,,,,,Effective,,,,,,,,,,,,,,,,
Strong,,,,Promoter,,,,,Evidence-based,,,,,,,,,,,,,,,,
Decisive ,,,,Counselor,,,,,Dependable,,,,,,,,,,,,,,,,
Success-oriented,,,,Lively,,,,,Knowledgeable,,,,,,,,,,,,,,,,
Delegates,,,,Social,,,,,Rational,,,,,,,,,,,,,,,,
Empowers,,,,Outspoken,,,,,Perfectionist,,,,,,,,,,,,,,,,
Stands up,,,,Accepting,,,,,Trustworthy,,,,,,,,,,,,,,,,
Monitor,,,,Eager,,,,,Systematic,,,,,,,,,,,,,,,,
Supervising,,,,Convincing ,,,,,Objective,,,,,,,,,,,,,,,,
,,,,Collaborative,,,,,Diplomatic,,,,,,,,,,,,,,,,
,,,,Spontaneous ,,,,,Unemotional,,,,,,,,,,,,,,,,
,,,,Impulsive,,,,,Correctness,,,,,,,,,,,,,,,,
,,,,,,,,,Detail-oriented,,,,,,,,,,,,,,,,
,,,,,,,,,Tactful,,,,,,,,,,,,,,,,
,,,,,,,,,Cautious,,,,,,,,,,,,,,,,
,,,,,,,,,Competent,,,,,,,,,,,,,,,,
,,,,,,,,,Fact Based,,,,,,,,,,,,,,,,
